comuna,ica,fecha,id
comuna 15,55,2024-07-31,28538
comuna 11,97,2024-07-31,34260
comuna 9,44,2024-01-30,21520
comuna 14,82,2024-06-25,14800
comuna 3,70,2024-01-30,41895
comuna 13,83,2024-07-31,31079
comuna 11,11,2024-01-30,31291
comuna 13,100,2024-06-25,12461
comuna 8,80,2024-06-23,24962
comuna 9,18,2024-07-31,16409
comuna 8,79,2024-01-30,33002
comuna 2,62,2024-06-23,28440
comuna 4,80,2024-06-23,27256
comuna 12,87,2024-01-30,23024
comuna 3,76,2024-07-31,6488
comuna 9,96,2024-01-30,31201
comuna 6,99,2024-07-31,11916
comuna 5,71,2024-06-23,48152
comuna 8,24,2024-06-25,44600
comuna 7,33,2024-06-25,6960
comuna 15,32,2024-07-31,39507
comuna 11,29,2024-07-31,43463
comuna 8,34,2024-01-30,29150
comuna 10,26,2024-06-23,46772
comuna 12,50,2024-01-30,16957
comuna 4,75,2024-06-25,1606
comuna 1,93,2024-06-25,33591
comuna 16,29,2024-01-30,8236
comuna 7,13,2024-07-31,43069
comuna 3,98,2024-06-25,6059
comuna 14,86,2024-01-30,4698
comuna 14,42,2024-06-25,41502
comuna 7,85,2024-07-31,14508
comuna 9,39,2024-06-23,39311
comuna 8,15,2024-07-31,35644
comuna 15,46,2024-07-31,36432
comuna 6,39,2024-07-31,8184
comuna 10,31,2024-06-25,22442
comuna 5,27,2024-06-25,12404
comuna 12,68,2024-06-23,8081
comuna 9,83,2024-01-30,30413
comuna 5,67,2024-06-25,11699
comuna 2,71,2024-07-31,13809
comuna 8,34,2024-06-25,13061
comuna 11,71,2024-06-23,3986
comuna 13,23,2024-01-30,82
comuna 7,10,2024-06-23,46489
comuna 9,52,2024-06-25,22571
comuna 14,46,2024-06-23,26568
comuna 14,47,2024-07-31,12555
comuna 10,27,2024-06-25,19646
comuna 5,44,2024-01-30,37078
comuna 5,22,2024-01-30,23621
comuna 12,16,2024-06-25,36260
comuna 8,67,2024-06-23,38112
comuna 14,83,2024-06-23,10381
comuna 12,99,2024-01-30,45879
comuna 1,73,2024-01-30,38597
comuna 7,81,2024-01-30,2744
comuna 12,31,2024-06-25,29587
comuna 4,36,2024-06-25,31390
comuna 10,44,2024-07-31,3341
comuna 10,11,2024-06-23,14574
comuna 8,89,2024-07-31,45577
comuna 11,92,2024-06-25,35620
comuna 12,27,2024-06-25,19802
comuna 14,61,2024-06-23,24950
comuna 15,41,2024-01-30,32550
comuna 2,10,2024-01-30,8129
comuna 15,24,2024-06-23,48
comuna 8,52,2024-06-23,3391
comuna 7,35,2024-01-30,2803
comuna 6,20,2024-01-30,13626
comuna 4,40,2024-07-31,11634
comuna 4,22,2024-01-30,32780
comuna 6,12,2024-06-25,33013
comuna 14,43,2024-06-23,9913
comuna 5,89,2024-06-25,13109
comuna 8,73,2024-01-30,47625
comuna 12,95,2024-06-23,14365
comuna 9,18,2024-07-31,39862
comuna 6,20,2024-06-23,2705
comuna 5,70,2024-07-31,28214
comuna 14,71,2024-06-23,13205
comuna 12,57,2024-01-30,22865
comuna 13,79,2024-01-30,29315
comuna 7,51,2024-01-30,34656
comuna 7,22,2024-07-31,26718
comuna 11,56,2024-06-23,30284
comuna 1,64,2024-06-23,39403
comuna 2,55,2024-06-23,15246
comuna 3,85,2024-06-23,24891
comuna 10,11,2024-06-23,17216
comuna 2,37,2024-06-23,36019
comuna 10,31,2024-01-30,25769
comuna 9,64,2024-06-25,18513
comuna 14,87,2024-07-31,17892
comuna 8,46,2024-06-23,26389
comuna 10,33,2024-06-25,5377
comuna 2,60,2024-06-23,25779
comuna 6,38,2024-06-23,32924
comuna 4,39,2024-01-30,43633
comuna 13,33,2024-06-23,6345
comuna 3,54,2024-01-30,7998
comuna 7,28,2024-07-31,4999
comuna 11,30,2024-06-25,20827
comuna 10,98,2024-06-25,41254
comuna 1,89,2024-06-23,33646
comuna 13,64,2024-06-25,11312
comuna 6,100,2024-06-25,22220
comuna 16,61,2024-06-23,1284
comuna 11,44,2024-01-30,29252
comuna 10,57,2024-01-30,34623
comuna 6,27,2024-07-31,44186
comuna 9,98,2024-07-31,46725
comuna 16,64,2024-01-30,23013
comuna 13,15,2024-07-31,10787
comuna 1,49,2024-07-31,18461
comuna 12,45,2024-06-25,18879
comuna 15,75,2024-01-30,42106
comuna 6,84,2024-06-25,45954
comuna 12,83,2024-06-23,41708
comuna 11,14,2024-01-30,8601
comuna 12,14,2024-06-25,40669
comuna 13,42,2024-01-30,14776
comuna 9,43,2024-06-25,22301
comuna 8,99,2024-07-31,6475
comuna 11,61,2024-01-30,42051
comuna 7,91,2024-06-23,24817
comuna 4,93,2024-06-25,37629
comuna 14,27,2024-01-30,12243
comuna 10,82,2024-06-25,35086
comuna 13,47,2024-06-25,7769
comuna 11,68,2024-07-31,38104
comuna 14,32,2024-06-25,18337
comuna 1,36,2024-06-25,44198
comuna 15,62,2024-01-30,33522
comuna 16,92,2024-06-23,36143
comuna 10,70,2024-01-30,5508
comuna 5,66,2024-06-23,6283
comuna 15,28,2024-07-31,9700
comuna 7,40,2024-01-30,40762
comuna 11,90,2024-07-31,16783
comuna 16,45,2024-06-23,15453
comuna 6,82,2024-01-30,37709
comuna 10,45,2024-07-31,46594
comuna 16,20,2024-01-30,8186
comuna 3,80,2024-06-23,24471
comuna 13,91,2024-07-31,13470
comuna 6,20,2024-06-25,1441
comuna 8,76,2024-06-25,29864
comuna 2,92,2024-07-31,28739
comuna 2,76,2024-06-23,36833
comuna 14,46,2024-01-30,2527
comuna 5,26,2024-07-31,28187
comuna 10,20,2024-06-23,44717
comuna 3,58,2024-01-30,40671
comuna 10,68,2024-01-30,14804
comuna 4,96,2024-06-23,44433
comuna 7,26,2024-01-30,46848
comuna 16,62,2024-07-31,32369
comuna 5,74,2024-06-25,27616
comuna 8,88,2024-01-30,798
comuna 9,96,2024-01-30,27048
comuna 1,100,2024-01-30,46749
comuna 14,47,2024-01-30,48274
comuna 1,24,2024-06-23,41667
comuna 14,42,2024-07-31,16295
comuna 16,93,2024-06-23,14799
comuna 5,69,2024-01-30,5667
comuna 12,71,2024-07-31,46857
comuna 3,82,2024-06-25,14405
comuna 13,27,2024-06-25,31031
comuna 12,29,2024-01-30,1575
comuna 5,46,2024-06-25,25387
comuna 4,57,2024-06-25,3554
comuna 3,45,2024-07-31,26999
comuna 2,62,2024-01-30,35058
comuna 15,34,2024-07-31,24413
comuna 13,27,2024-01-30,40642
comuna 8,74,2024-07-31,47212
comuna 12,75,2024-01-30,12952
comuna 7,77,2024-06-25,12750
comuna 6,32,2024-01-30,18022
comuna 9,89,2024-01-30,45933
comuna 1,58,2024-07-31,3204
comuna 8,71,2024-06-25,21643
comuna 3,73,2024-06-25,27573
comuna 1,19,2024-01-30,20594
comuna 1,63,2024-06-23,22565
comuna 15,47,2024-06-25,19690
comuna 13,76,2024-06-23,9173
comuna 10,15,2024-06-23,46975
comuna 13,12,2024-01-30,44203
comuna 13,47,2024-06-25,14078
comuna 5,86,2024-06-25,48288
comuna 3,64,2024-06-25,37805
comuna 3,68,2024-01-30,30744
comuna 15,91,2024-06-23,26753
comuna 7,75,2024-07-31,21241
comuna 5,94,2024-01-30,9500
comuna 11,58,2024-06-25,3488
comuna 8,90,2024-06-25,20621
comuna 5,83,2024-01-30,19146
comuna 3,87,2024-07-31,38810
comuna 11,85,2024-06-25,40834
comuna 1,39,2024-06-23,34046
comuna 16,90,2024-01-30,34829
comuna 4,20,2024-07-31,24487
comuna 3,21,2024-01-30,37633
comuna 11,49,2024-06-23,28806
comuna 10,35,2024-06-23,18007
comuna 10,21,2024-07-31,7386
comuna 7,35,2024-01-30,10122
comuna 12,33,2024-01-30,349
comuna 2,64,2024-06-23,42405
comuna 7,17,2024-06-23,37997
comuna 7,62,2024-07-31,32177
comuna 4,71,2024-07-31,27792
comuna 9,35,2024-07-31,29163
comuna 16,21,2024-07-31,30571
comuna 6,86,2024-06-23,48823
comuna 1,37,2024-01-30,36426
comuna 13,31,2024-07-31,26567
comuna 12,100,2024-01-30,14845
comuna 16,43,2024-07-31,3518
comuna 6,71,2024-06-25,40665
comuna 12,44,2024-07-31,34141
comuna 9,53,2024-06-25,42237
comuna 13,98,2024-06-23,45750
comuna 8,93,2024-06-23,39410
comuna 14,86,2024-01-30,46828
comuna 15,84,2024-07-31,41145
comuna 7,90,2024-06-25,20279
comuna 16,88,2024-06-23,8736
comuna 13,35,2024-06-23,10065
comuna 6,61,2024-07-31,46662
comuna 2,44,2024-07-31,30654
comuna 14,34,2024-06-25,30794
comuna 5,16,2024-07-31,25098
comuna 8,43,2024-07-31,35716
comuna 7,86,2024-01-30,40439
comuna 14,38,2024-07-31,14657
comuna 5,14,2024-01-30,24383
comuna 7,11,2024-07-31,37851
comuna 8,84,2024-06-23,25757
comuna 2,43,2024-01-30,22255
comuna 4,28,2024-06-23,5257
comuna 11,88,2024-01-30,23856
comuna 3,76,2024-01-30,49564
comuna 6,41,2024-06-25,35152
comuna 14,85,2024-07-31,9570
comuna 3,32,2024-01-30,11785
comuna 11,68,2024-01-30,4
comuna 14,25,2024-01-30,22899
comuna 15,32,2024-06-23,44122
comuna 5,90,2024-07-31,25270
comuna 15,25,2024-01-30,25732
comuna 10,25,2024-06-23,18460
comuna 4,23,2024-01-30,23836
comuna 11,35,2024-06-25,15516
comuna 12,66,2024-07-31,31845
comuna 4,32,2024-07-31,44247
comuna 15,12,2024-06-23,47267
comuna 14,17,2024-07-31,43886
comuna 8,17,2024-01-30,25394
comuna 4,77,2024-06-25,12981
comuna 7,89,2024-07-31,13617
comuna 15,80,2024-06-23,17166
comuna 7,75,2024-06-23,22497
comuna 11,99,2024-06-25,43453
comuna 13,35,2024-07-31,11371
comuna 11,90,2024-06-25,27860
comuna 11,58,2024-06-25,2798
comuna 14,46,2024-06-25,25866
comuna 10,42,2024-01-30,36624
comuna 16,31,2024-07-31,4389
comuna 1,44,2024-07-31,15614
comuna 7,100,2024-01-30,22150
comuna 15,45,2024-01-30,28798
comuna 6,82,2024-07-31,5569
comuna 3,75,2024-01-30,34594
comuna 13,94,2024-06-23,7083
comuna 4,75,2024-06-23,5280
comuna 6,46,2024-06-23,14518
comuna 3,19,2024-07-31,5319
comuna 6,89,2024-01-30,8887
comuna 8,98,2024-01-30,27735
comuna 2,48,2024-01-30,39920
comuna 7,72,2024-07-31,4470
comuna 15,44,2024-01-30,13908
comuna 5,69,2024-07-31,28302
comuna 14,59,2024-01-30,22153
comuna 15,25,2024-07-31,29170
comuna 5,43,2024-07-31,22073
comuna 6,76,2024-01-30,43677
comuna 1,38,2024-06-25,28804
comuna 16,37,2024-06-25,24686
comuna 15,37,2024-06-23,32023
comuna 5,65,2024-06-25,34585
comuna 14,88,2024-07-31,20352
comuna 6,40,2024-06-23,12378
comuna 3,24,2024-06-25,29472
comuna 10,87,2024-01-30,9504
comuna 5,62,2024-07-31,20103
comuna 6,84,2024-07-31,3138
comuna 5,64,2024-07-31,8536
comuna 16,62,2024-06-25,18306
comuna 13,44,2024-07-31,1685
comuna 12,98,2024-07-31,18718
comuna 8,15,2024-07-31,39963
comuna 12,19,2024-01-30,14069
comuna 7,21,2024-06-25,21900
comuna 13,32,2024-06-25,15278
comuna 2,69,2024-06-23,839
comuna 10,55,2024-07-31,49737
comuna 8,58,2024-06-23,22245
comuna 8,17,2024-01-30,44717
comuna 7,97,2024-07-31,44915
comuna 6,95,2024-01-30,5281
comuna 7,34,2024-07-31,11658
comuna 15,76,2024-07-31,4672
comuna 8,75,2024-01-30,14593
comuna 10,92,2024-06-23,25697
comuna 11,51,2024-07-31,29444
comuna 13,59,2024-06-23,4624
comuna 2,61,2024-01-30,9471
comuna 10,34,2024-07-31,2586
comuna 16,91,2024-06-23,15235
comuna 4,27,2024-01-30,41912
comuna 3,66,2024-06-23,46866
comuna 12,21,2024-06-25,36035
comuna 12,91,2024-01-30,40807
comuna 6,23,2024-06-23,29410
comuna 1,19,2024-06-23,17033
comuna 7,49,2024-06-25,3495
comuna 8,60,2024-06-23,21880
comuna 8,27,2024-07-31,38311
comuna 10,91,2024-07-31,3959
comuna 15,59,2024-06-25,20406
comuna 1,90,2024-07-31,49457
comuna 15,38,2024-01-30,16858
comuna 8,81,2024-06-25,42391
comuna 15,32,2024-07-31,17506
comuna 11,40,2024-06-23,37567
comuna 14,76,2024-07-31,22503
comuna 11,92,2024-07-31,15465
comuna 3,16,2024-06-23,11861
comuna 11,23,2024-01-30,885
comuna 12,66,2024-06-23,23208
comuna 12,23,2024-06-25,40367
comuna 11,34,2024-06-23,35395
comuna 5,49,2024-07-31,28279
comuna 7,20,2024-06-25,11510
comuna 8,87,2024-06-23,27269
comuna 3,94,2024-06-25,13900
comuna 15,95,2024-06-25,26070
comuna 5,94,2024-06-23,18383
comuna 6,54,2024-06-25,34403
comuna 15,23,2024-06-25,31012
comuna 9,88,2024-06-23,4966
comuna 8,29,2024-01-30,21804
comuna 11,90,2024-06-25,21401
comuna 5,67,2024-01-30,39885
comuna 14,98,2024-01-30,34046
comuna 1,20,2024-06-23,7688
comuna 11,87,2024-06-23,22947
comuna 12,68,2024-06-23,22778
comuna 11,51,2024-06-23,40522
comuna 3,21,2024-01-30,33792
comuna 6,27,2024-06-25,20965
comuna 11,72,2024-07-31,16240
comuna 11,13,2024-06-25,20001
comuna 4,96,2024-01-30,14692
comuna 8,93,2024-01-30,18361
comuna 5,63,2024-07-31,11948
comuna 15,61,2024-07-31,20779
comuna 1,24,2024-01-30,18912
comuna 8,22,2024-07-31,38478
comuna 11,75,2024-06-25,25717
comuna 9,36,2024-07-31,5606
comuna 12,32,2024-06-25,47898
comuna 2,73,2024-06-25,14436
comuna 16,20,2024-06-25,18128
comuna 10,36,2024-06-23,3868
comuna 8,55,2024-06-25,27151
comuna 14,14,2024-06-23,16517
comuna 1,58,2024-06-25,9864
comuna 1,69,2024-06-25,22490
comuna 6,50,2024-06-23,15631
comuna 13,80,2024-06-25,41286
comuna 4,43,2024-06-25,10701
comuna 11,97,2024-01-30,28156
comuna 1,96,2024-06-25,26028
comuna 2,27,2024-06-23,1465
comuna 9,50,2024-01-30,42811
comuna 7,33,2024-06-23,22316
comuna 16,36,2024-01-30,16850
comuna 8,26,2024-06-23,7061
comuna 14,27,2024-06-25,49074
comuna 6,19,2024-01-30,31674
comuna 14,61,2024-07-31,35107
comuna 13,21,2024-07-31,12615
comuna 7,27,2024-01-30,34182
comuna 7,58,2024-06-23,32058
comuna 9,38,2024-07-31,10898
comuna 10,11,2024-01-30,2687
comuna 9,76,2024-06-25,7498
comuna 11,42,2024-06-23,47329
comuna 12,10,2024-01-30,1845
comuna 16,94,2024-06-23,24351
comuna 12,17,2024-07-31,3102
comuna 8,47,2024-01-30,10441
comuna 8,38,2024-07-31,41757
comuna 11,80,2024-06-25,25406
comuna 2,62,2024-06-23,1336
comuna 2,55,2024-06-25,15560
comuna 4,88,2024-07-31,35148
comuna 7,57,2024-07-31,49144
comuna 13,52,2024-06-23,42152
comuna 11,68,2024-01-30,28384
comuna 15,81,2024-06-23,22181
comuna 9,39,2024-06-25,42557
comuna 14,66,2024-07-31,10359
comuna 5,31,2024-06-23,35183
comuna 13,69,2024-06-23,25169
comuna 9,13,2024-06-23,2792
comuna 12,76,2024-01-30,43231
comuna 8,77,2024-07-31,48959
comuna 9,44,2024-01-30,26564
comuna 1,30,2024-06-23,3180
comuna 7,82,2024-06-25,37591
comuna 12,30,2024-06-25,34512
comuna 15,71,2024-01-30,48173
comuna 13,50,2024-07-31,49373
comuna 10,90,2024-07-31,49849
comuna 9,25,2024-01-30,7108
comuna 9,10,2024-01-30,16130
comuna 6,95,2024-07-31,19783
comuna 6,67,2024-06-23,36283
comuna 7,83,2024-01-30,16835
comuna 2,13,2024-06-23,31964
comuna 8,30,2024-06-23,27730
comuna 14,82,2024-01-30,25634
comuna 3,46,2024-06-23,46797
comuna 6,50,2024-06-23,48001
comuna 7,32,2024-07-31,39306
comuna 14,54,2024-01-30,43035
comuna 3,80,2024-06-25,46254
comuna 8,23,2024-06-25,30069
comuna 9,19,2024-06-25,32473
comuna 15,51,2024-01-30,49944
comuna 6,72,2024-07-31,15465
comuna 15,81,2024-06-23,20307
comuna 12,65,2024-06-25,1249
comuna 13,57,2024-07-31,32763
comuna 15,30,2024-06-23,47230
comuna 14,95,2024-07-31,1740
comuna 12,47,2024-07-31,10324
comuna 5,68,2024-01-30,20500
comuna 1,98,2024-06-23,959
comuna 1,16,2024-01-30,18629
comuna 5,43,2024-06-25,38646
comuna 9,44,2024-01-30,29843
comuna 10,44,2024-06-23,38381
comuna 4,91,2024-06-25,24176
comuna 15,40,2024-06-23,36225
comuna 16,19,2024-06-23,9236
comuna 2,74,2024-06-25,29424
comuna 4,32,2024-01-30,33542
comuna 12,38,2024-01-30,41443
comuna 10,98,2024-06-23,41511
comuna 13,29,2024-07-31,690
comuna 6,83,2024-07-31,34013
comuna 6,10,2024-06-23,14344
comuna 5,65,2024-07-31,8814
comuna 3,34,2024-07-31,11041
comuna 11,11,2024-06-25,47732
comuna 14,52,2024-06-25,44218
comuna 7,80,2024-07-31,2981
comuna 2,79,2024-06-23,42044
comuna 2,41,2024-07-31,41902
comuna 13,30,2024-06-23,49159
comuna 16,91,2024-06-25,29557
comuna 11,36,2024-01-30,31991
comuna 3,45,2024-07-31,42573
comuna 10,24,2024-01-30,41921
comuna 3,100,2024-06-23,16719
comuna 2,88,2024-01-30,30978
comuna 9,73,2024-06-23,26195
comuna 11,22,2024-06-25,26845
comuna 13,14,2024-07-31,10708
comuna 2,90,2024-06-25,8858
comuna 15,98,2024-01-30,24306
comuna 4,16,2024-07-31,47472
comuna 9,85,2024-01-30,10404
comuna 7,23,2024-07-31,13090
comuna 9,76,2024-07-31,3611
comuna 9,38,2024-01-30,30974
comuna 2,67,2024-01-30,40463
comuna 15,57,2024-06-25,3306
comuna 16,13,2024-06-25,1584
comuna 6,92,2024-01-30,13347
comuna 3,46,2024-06-25,7954
comuna 3,95,2024-06-23,29189
comuna 2,79,2024-06-23,27634
comuna 2,89,2024-06-23,10199
comuna 13,17,2024-06-23,38501
comuna 1,43,2024-07-31,16378
comuna 2,70,2024-07-31,19833
comuna 16,74,2024-07-31,714
comuna 4,32,2024-06-25,49944
comuna 9,65,2024-06-23,8098
comuna 11,99,2024-07-31,7619
comuna 5,35,2024-07-31,23841
comuna 4,78,2024-01-30,14867
comuna 10,39,2024-06-23,3878
comuna 2,56,2024-07-31,15525
comuna 3,100,2024-06-25,20800
comuna 4,78,2024-01-30,14801
comuna 8,57,2024-06-23,18343
comuna 1,49,2024-01-30,5096
comuna 16,26,2024-01-30,30650
comuna 5,92,2024-01-30,18587
comuna 1,13,2024-01-30,49047
comuna 12,44,2024-06-25,28749
comuna 14,45,2024-01-30,12470
comuna 15,93,2024-06-23,41657
comuna 1,51,2024-01-30,13085
comuna 10,64,2024-01-30,1266
comuna 1,34,2024-06-23,24187
comuna 13,52,2024-07-31,2100
comuna 9,66,2024-06-25,32651
comuna 6,95,2024-06-23,13080
comuna 12,10,2024-07-31,21518
comuna 8,64,2024-06-25,27702
comuna 6,69,2024-06-23,6054
